School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Toronto,Urban Planning,"March 12, 2026",Accepted on 12 Mar,Fall 2026,International,3.82,,canadian
University of Toronto,Biotechnology,"March 11, 2026",Rejected on 11 Mar,Spring 2026,International,3.97,,soft rejection. domestic applicant with research/clinical/teaching experience. it's rough out here man.
University of Toronto,Economics,"March 11, 2026",Rejected on 19 Feb,Fall 2026,International,3.50,,
University of Toronto,Applied Computing (MScAC),"March 11, 2026",Interview on 3 Mar,Fall 2026,International,3.9,,"Bioinformatics & Computational Biology Specialist, Computer Science Major @ University of Toronto"
University of Toronto,Information,"March 11, 2026",Accepted on 10 Mar,Fall 2026,International,3.5,,"Canada undergrad, concentration: HCDS. Probably wont go, but this program definitely is a great backup."
University of Toronto,Architecture,"March 11, 2026",Accepted on 11 Mar,Fall 2026,International,,,Advanced Standing
University of Toronto,Architecture,"March 11, 2026",Accepted on 11 Mar,Fall 2026,International,3.7,,"Domestic, Advanced Standing Option"
University of Toronto,Architecture,"March 11, 2026",Accepted on 11 Mar,Fall 2026,International,,,"Domestic, advanced standing option"
University of Toronto,Architecture,"March 11, 2026",Accepted on 11 Mar,Fall 2026,American,3.89,,"email to check portal, American applicant, with scholarship"
University of Toronto,Urban Planning,"March 11, 2026",Accepted on 4 Mar,Fall 2026,International,,,Canadian applicant
University of Toronto,Museum Studies,"March 11, 2026",Accepted on 11 Mar,Fall 2026,American,,,
University of Toronto,History,"March 11, 2026",Accepted on 11 Mar,Fall 2026,International,3.8,,Domestic student. Accepted with no funding.
University of Toronto,Information,"March 11, 2026",Accepted on 11 Mar,Fall 2026,American,,,
University of Toronto,Information Studies,"March 11, 2026",Accepted on 10 Mar,Fall 2026,American,,,Email to check status page
University of Toronto,Anthropology,"March 10, 2026",Accepted on 10 Mar,Fall 2026,International,,,
University of Toronto,Anthropology,"March 10, 2026",Accepted on 10 Mar,Fall 2026,International,,,
University of Toronto,Anthropology,"March 10, 2026",Accepted on 10 Mar,Fall 2026,International,3.9,,
University of Toronto,Information,"March 10, 2026",Accepted on 10 Mar,Fall 2026,International,,,"uxd track, very excited!"
University of Toronto,Physics,"March 09, 2026",Rejected on 7 Mar,Fall 2026,American,3.82,,
University of Toronto,Criminology and sociolegal studies,"March 09, 2026",Accepted on 9 Mar,Fall 2026,International,,,
University of Toronto,English,"March 09, 2026",Rejected on 9 Mar,Fall 2026,International,,,
University of Toronto,Electrical And Computer Engineering,"March 08, 2026",Rejected on 2 Mar,Fall 2026,International,3.70,,"Rejected by faculty after first round interview. And if the business is true, it makes me sick to mah stomach, fam."
University of Toronto,Sociology,"March 07, 2026",Rejected on 11 Feb,Fall 2026,International,3.70,,"Domestic applicant, Canadian and French undergraduate degree"
University of Toronto,Physics,"March 07, 2026",Rejected on 6 Mar,Fall 2026,International,,,
University of Toronto,Social Work,"March 06, 2026",Accepted on 3 Mar,Fall 2026,International,3.94,,Domestic
University of Toronto,Earth Sciences,"March 06, 2026",Accepted on 11 Feb,Fall 2026,International,3.50,,
University of Toronto,Public Health,"March 06, 2026",Accepted on 4 Mar,Fall 2026,International,,,3.97/4.33 GPA. Field of Nutrition and Dietetics. Mid February invited to an information session for competitive applicants. Received offer of admission March 4.
University of Toronto,Physics,"March 06, 2026",Rejected on 6 Mar,Fall 2026,International,3.80,,
University of Toronto,Physics,"March 06, 2026",Rejected on 6 Mar,Fall 2026,International,,,
University of Toronto,Physics,"March 06, 2026",Rejected on 6 Mar,Fall 2026,International,,,
University of Toronto,Political Science,"March 06, 2026",Accepted on 21 Feb,Fall 2026,International,3.89,GRE 323,
University of Toronto,Physics,"March 05, 2026",Rejected on 5 Mar,Fall 2026,International,3.64,,UofT Physics Undergraduate
University of Toronto,Urban And Regional Planning,"March 04, 2026",Accepted on 4 Mar,Fall 2026,International,3.7,,"Domestic, final year gpa: 4.0"
University of Toronto,Counselling Psychology,"March 04, 2026",Accepted on 4 Mar,Fall 2026,International,,,
University of Toronto,Planning,"March 04, 2026",Accepted on 4 Mar,Fall 2026,International,,,
university of toronto,social work,"March 03, 2026",Wait listed on 3 Mar,Fall 2026,International,,,Canadian applied for Advanced Standing with BSW with minoring specialisation and decent GPA. Received waitlisted letter today at 3 pm.
University of Toronto,Planning,"March 03, 2026",Accepted on 3 Mar,Fall 2026,International,3.92,,6500$ admission package
University of Toronto,Social Work,"March 03, 2026",Accepted on 2 Mar,Fall 2026,International,3.9,,"Ontario Resident, Updated on Acorn on March 02. Official Letter on March 03. Advanced Standing. Applied with approximately 10,000 paid hours of experience in disability services, anti-human trafficking work, harm reduction work, early childhood education, behavioural therapy, mentoring etc. No volunteer hours."
University of Toronto,Social Work,"March 03, 2026",Accepted on 2 Mar,Fall 2026,International,4.0,,
University of Toronto,Religion,"March 03, 2026",Rejected on 2 Mar,Fall 2026,American,3.86,,
University of Toronto,Social Work,"March 02, 2026",Accepted on 2 Mar,Fall 2026,International,3.9,,Accepted today in the Mental Health and Health stream. Domestic student for the Advanced-Standing program.
University of Toronto,Creative Writing Poetry,"March 02, 2026",Rejected on 2 Mar,Fall 2026,American,3.8,,
University of Toronto,English (Creative Writing),"March 02, 2026",Rejected on 2 Mar,Fall 2026,International,,,
University of Toronto,Advanced Standing MSW,"March 02, 2026",Accepted on 2 Mar,Fall 2026,International,3.91,,"I signed up to Acron and saw the invite and deposit required. I am not sure which stream yet, like the person below, but I applied for Mental Health and Health and Children and Families."
University of Toronto,Geography,"March 02, 2026",Accepted on 2 Mar,Fall 2026,International,3.8,,"Canadian, Domestic Student"
University of Toronto,Social Work,"March 01, 2026",Accepted on 1 Mar,Fall 2026,International,,,"Domestic student. Checked ACORN a little before 5:00pm today and registration status was changed to ""Invited"" with an outstanding $500 deposit. Applied for Advanced Standing, full-time stream. Do not know which field of study I got into as of yet."
University of Toronto,Political Science,"March 01, 2026",Accepted on 20 Feb,Fall 2026,International,3.44,,Canadian citizen with a degree from a Canadian Institution
University of Toronto,Political Science,"February 28, 2026",Accepted on 20 Feb,Fall 2026,International,3.71,,"no formal research experience or publication, but 6 recommendations (5 from professors, 1 from internship boss)"
University of Toronto,Physics,"February 27, 2026",Rejected on 27 Feb,Fall 2026,International,3.7,,Domestic Canadian student.
University of Toronto,Physics,"February 27, 2026",Rejected on 27 Feb,Fall 2026,International,3.3,,"Domestic Canadian UofT student. I messed up on my application by mostly applying to astronomy profs who aren't officially part of the physics department, so this was kind of expected :/"
University of Toronto,Women and Gender Studies,"February 26, 2026",Rejected on 26 Feb,Fall 2026,International,3.95,,
University of Toronto,Medical Biophysics,"February 26, 2026",Rejected on 26 Feb,Fall 2026,International,3.35,,Physics stream (not international student). Over 1.5 years of experience in MRI data acquisition and analysis (ASL/BOLD) for neuroimaging research. + 6 interviews I thought went well… Reason for rejection stated: due to a high number applicants…
University of Toronto,Medieval Studies,"February 25, 2026",Accepted on 25 Feb,Fall 2026,American,4.00,,
University of Toronto,Physics,"February 25, 2026",Accepted on 25 Feb,Fall 2026,International,,,
University of Toronto,Medieval Studies,"February 25, 2026",Accepted on 25 Feb,Fall 2026,American,3.94,,Got an email to check the portal
University of Toronto,Economics,"February 24, 2026",Rejected on 19 Feb,Fall 2026,International,3.14,,Scared them away with my CGPA hehe
University of Toronto,Systems Biology,"February 24, 2026",Accepted on 24 Feb,Fall 2026,International,,,
University of Toronto,Political Science,"February 20, 2026",Accepted on 20 Feb,Fall 2026,International,3.56,,"domestic applicant, uoft student"
University of Toronto,Political Science,"February 20, 2026",Accepted on 20 Feb,Fall 2026,International,4.0,,Domestic.
University of Toronto,Political Science,"February 20, 2026",Accepted on 20 Feb,Fall 2026,International,3.97,,"Domestic applicant from uoft. No extracurriculars, 1 RAship, 2 awards in political science"
