School,Program,Date_Added,Decision_Detail,Season,Status,GPA,GRE,Comment
University of Pennsylvania,Energy and Sustainability Engineering,"March 03, 2026",Accepted on 3 Mar,Fall 2026,American,3.5,,
University of Pennsylvania,Mechanical Engineering,"February 28, 2026",Accepted on 25 Feb,Fall 2026,American,,,
University of Pennsylvania,Medical Physics,"February 27, 2026",Rejected on 26 Feb,Fall 2026,American,3.25,,
University of Pennsylvania,Art and Archaeology,"February 27, 2026",Accepted on 27 Feb,Fall 2026,American,4.0,,
University of Pennsylvania,Medical Physics,"February 26, 2026",Accepted on 26 Feb,Fall 2026,American,3.81,,
University of Pennsylvania,Medical Physics,"February 26, 2026",Interview on 26 Feb,Fall 2026,American,3.78,,
University of Pennsylvania,Medical Physics,"February 26, 2026",Wait listed on 26 Feb,Fall 2026,American,3.6,,I think my interview could have gone better. Got stumped at one of the questions
University of pennsylvania,Electrical Engineering,"February 25, 2026",Accepted on 25 Feb,Fall 2026,American,3.8,,
University of Pennsylvania,Electrical Engineering,"February 25, 2026",Accepted on 25 Feb,Fall 2026,International,4.00,,
University of Pennsylvania,Public Administration,"February 25, 2026",Accepted on 25 Feb,Fall 2026,American,3.78,,
University of Pennsylvania,English,"February 24, 2026",Accepted on 9 Feb,Fall 2026,American,3.92,,"Exciting but not funded. Applied PhD, accepted for MA."
university of pennsylvania,Data Science,"February 20, 2026",Wait listed on 15 Jan,Fall 2026,American,3.9,,No GRE. Early application. Non-STEM major in undergrad.
University of Pennsylvania,Mechanical Engineering,"February 19, 2026",Accepted on 18 Feb,Fall 2026,International,3.85,,
University of Pennsylvania (UPenn),Robotics,"February 19, 2026",Accepted on 11 Feb,Fall 2026,American,3.68,GRE 167 | GRE V 161 | GRE AW 4.5,"There was a problem with my transcript so I had to resend it, then the next day I got the acceptance!"
University of Pennsylvania,Mechanical Engineering,"February 18, 2026",Accepted on 18 Feb,Fall 2026,International,3.45,,
University of Pennsylvania,English,"February 18, 2026",Interview on 18 Feb,Fall 2026,International,,,"Please ignore the interview. Has anyone who is an international student heard from the department? I wonder if, in terms of order, they deal with the applications according to regions. Anxiously waiting for the results and fingers crossed."
University of Pennsylvania,Robotics,"February 18, 2026",Accepted on 7 Dec,Fall 2026,International,3.85,,
University of Pennsylvania,Medical Physics,"February 17, 2026",Interview on 17 Feb,Fall 2026,American,3.44,,
University of Pennsylvania,Mechanical Engineering,"February 14, 2026",Accepted on 11 Feb,Fall 2026,American,3.85,,Surprised I got in!
University of Pennsylvania,English,"February 13, 2026",Accepted on 9 Feb,Fall 2026,American,3.9,,Paid closest attention to my writing samples and my statement of purpose. Had great recommendors which definitely helped.
Indiana University of Pennsylvania,Applied Archaeology,"February 12, 2026",Accepted on 12 Feb,Fall 2026,American,3.52,,Forensic Science undergrad. Wasn’t expecting this one but woohoooo!
University of Pennsylvania,Medical Physics,"February 12, 2026",Interview on 12 Feb,Fall 2026,American,,,
Commonwealth University of Pennsylvania,Robotics,"February 11, 2026",Accepted on 11 Feb,Fall 2026,American,3.86,,
University of Pennsylvania,Professional Counseling,"February 10, 2026",Interview on 30 Jan,Fall 2026,American,3.60,,actual interview feb 2nd
University of Pennsylvania,English,"February 09, 2026",Accepted on 9 Feb,Fall 2026,American,4.0,,
University of Pennsylvania,English,"February 09, 2026",Accepted on 9 Feb,Fall 2026,American,,,
University of Pennsylvania,English,"February 09, 2026",Accepted on 9 Feb,Fall 2026,American,3.97,,Email to check portal.
University of Pennsylvania,Social Work,"February 06, 2026",Accepted on 23 Jan,Fall 2026,American,3.5,,"First masters degree from NYU, GPA of 3.7"
University of Pennsylvania,Cinema Studies,"January 30, 2026",Interview on 22 Jan,Fall 2026,American,3.42,,
University of Pennsylvania,Social Work,"January 29, 2026",Accepted on 23 Jan,Fall 2026,American,3.4,,
University of Pennsylvania,Global Health,"January 28, 2026",Interview on 9 Jan,Fall 2026,American,,,
University of Pennsylvania,Robotics,"January 27, 2026",Accepted on 6 Dec,Fall 2026,International,,,
University of Pennsylvania,East Asian Languages and Civilizations,"January 25, 2026",Accepted on 22 Jan,Fall 2026,American,3.43,,
University of Pennsylvania,Social Work,"January 24, 2026",Accepted on 23 Jan,Fall 2026,American,3.79,,57k scholarship
University of Pennsylvania,Social Policy,"January 23, 2026",Accepted on 23 Jan,Fall 2026,American,3.79,,
University of Pennsylvania,Social Work,"January 23, 2026",Accepted on 23 Jan,Fall 2026,American,,,40k scholarship
University of Pennsylvania,Computer Science,"January 23, 2026",Accepted on 17 Dec,Fall 2026,International,3.98,GRE 325,
University of Pennsylvania,MCIT,"January 15, 2026",Wait listed on 15 Jan,Fall 2026,International,3.4,,
University of Pennsylvania,Data Science,"January 15, 2026",Accepted on 15 Jan,Fall 2026,American,4.0,GRE 170 | GRE V 165 | GRE AW 5.5,4.0 school GPA undergrad at a public state school (less than 4.0 cumulative due to courses from middle/high school). Analytics director for a club. 2 years of work experience as a statistical analyst.
University of Pennsylvania,Computer and Information Science,"January 15, 2026",Accepted on 18 Dec,Fall 2026,International,4.0,GRE 317 | GRE V 154 | GRE AW 4,
University of Pennsylvania,Data Science,"January 15, 2026",Accepted on 15 Jan,Fall 2026,American,3.94,,
University of Pennsylvania,MCIT,"January 08, 2026",Accepted on 7 Jan,Fall 2026,American,3.6,GRE 168 | GRE V 166,
University of Pennsylvania,education entrepreneurship,"December 29, 2025",Accepted on 17 Dec,Spring 2026,International,3.28,,"No GRE, No English test, 3.2 CGPA, International (developing country), Only 7K scholarship asked for more, but it is expensive."
University of Pennsylvania,Biotechnology,"May 01, 2025",Rejected on 25 Apr,Fall 2025,American,3.60,,
University of Pennsylvania,Professional Counseling,"April 30, 2025",Wait listed on 12 Mar,Fall 2025,International,,,
University of Pennsylvania,Bioengineering,"April 30, 2025",Wait listed on 1 Apr,Fall 2025,American,,,
University of Pennsylvania,Electrical Engineering,"April 28, 2025",Wait listed on 1 Apr,Fall 2025,American,3.80,,
University of Pennsylvania,AMCS,"April 25, 2025",Accepted on 19 Mar,Fall 2025,International,,,
University of Pennsylvania,Liberal arts,"April 16, 2025",Accepted on 16 Apr,Fall 2025,International,,,
University of Pennsylvania,MCIT,"April 16, 2025",Wait listed on 1 Apr,Fall 2025,American,2.30,,
University of Pennsylvania,Electrical and System,"April 08, 2025",Accepted on 27 Mar,Fall 2025,International,3.84,,
University of Pennsylvania,City Planning,"April 05, 2025",Accepted on 6 Mar,Fall 2025,American,3.84,,
West Chester University of Pennsylvania,Speech Pathology,"March 24, 2025",Wait listed on 24 Mar,Fall 2025,American,3.50,,
university of pennsylvania,Historic Preservation,"March 24, 2025",Accepted on 6 Mar,Fall 2025,American,3.66,,"Decision in portal, email the next day I think."
University of Pennsylvania,Professional Counseling,"March 13, 2025",Accepted on 12 Mar,Fall 2025,American,4.00,,"email to check portal, recieved a 20K scholarship/aid package. Had interview 2/17"
University of Pennsylvania,Professional Counseling,"March 13, 2025",Accepted on 12 Mar,Fall 2025,International,3.72,,"Received a group interview invite on Jan.31st, it was an 1-hour group interview with 3 other candidates and 1 faculty. Received email to check on decision on Mar. 12th."
University of Pennsylvania,Professional Counseling,"March 13, 2025",Accepted on 12 Mar,Fall 2025,International,,,
University of Pennsylvania,Biotechnology,"March 12, 2025",Accepted on 12 Mar,Fall 2025,American,3.70,,Email to check portal
University of Pennsylvania,Literary Studies (GSE),"March 12, 2025",Accepted on 12 Mar,Fall 2025,American,,,
University of Pennsylvania,Professional Counseling,"March 12, 2025",Accepted on 12 Mar,Fall 2025,American,,,
University of Pennsylvania,Professional Counseling,"March 12, 2025",Accepted on 12 Mar,Fall 2025,American,3.98,,Got an email to look at portal. Accepted with 1 year of experience in in-patient and peer counseling.
University of Pennsylvania,Biotechnology,"March 12, 2025",Accepted on 12 Mar,Fall 2025,American,,,
University of Pennsylvania,English,"March 11, 2025",Accepted on 7 Mar,Fall 2025,International,,,
University of Pennsylvania,MSD RAS,"March 06, 2025",Accepted on 6 Mar,Fall 2025,International,3.36,,
University of Pennsylvania,City Planning,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,3.48,,No GRE - $40k scholarship - #1 choice! So excited!
University of Pennsylvania,City Planning,"March 06, 2025",Accepted on 6 Mar,Fall 2025,International,3.80,,My dream school!!!!!!!!!!!!!!
University of Pennsylvania,City Planning,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,3.08,,No GRE
University of Pennsylvania,Architecture MSDAAD,"March 06, 2025",Accepted on 6 Mar,Fall 2025,International,3.80,,& $$
University of Pennsylvania,City Planning,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,3.69,,"$55k scholarship :) No GRE, 2 years work experience. So excited!"
University of Pennsylvania,Architecture,"March 06, 2025",Wait listed on 6 Mar,Fall 2025,American,3.81,,portal
University of Pennsylvania,Architecture,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,,,
University of Pennsylvania,Architecture,"March 06, 2025",Rejected on 6 Mar,Fall 2025,International,3.71,,
University of Pennsylvania,Landscape Architecture,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,,,Accepted with 10k a year scholarship
University of Pennsylvania,Landscape Architecture,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,,,
University of Pennsylvania,Architecture,"March 06, 2025",Accepted on 6 Mar,Fall 2025,International,,,accepted with 50k scholarship! super thankful
University of Pennsylvania,Architecture,"March 06, 2025",Rejected on 6 Mar,Fall 2025,American,3.75,,Checked portal
University of Pennsylvania,City Planning,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,3.94,,20k a year—not sure if it will be enough.
University of Pennsylvania,Architecture,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,3.80,,Checked portal
University of Pennsylvania,Architecture,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,3.80,,Checked Portal.
University of Pennsylvania,Architecture,"March 06, 2025",Accepted on 6 Mar,Fall 2025,American,,,
University of Pennsylvania,Bioengineering,"March 06, 2025",Accepted on 5 Mar,Fall 2025,International,,,
University of Pennsylvania,Robotics,"March 04, 2025",Accepted on 26 Feb,Fall 2025,International,3.95,,"No GRE, international student currently doing undergrad CS at UCSD"
University of Pennsylvania,Medical Physics,"February 28, 2025",Accepted on 27 Feb,Fall 2025,American,3.79,,Emailed to check the portal. Will probably accept if I can afford it
University of Pennsylvania,Scientific Computing,"February 28, 2025",Accepted on 20 Feb,Fall 2025,International,3.77,GRE 332 | GRE V 163 | GRE AW 4.50,UG at Tier 1 College from India.
University of Pennsylvania,Professional Counseling,"February 27, 2025",Accepted on 12 Mar,Fall 2025,International,,,Was notified of invitation for interview on 02/01/2025 via email. Interviewees could select from different timeslots between 02/06/2025 - 03/03/2025. I imagine we'll start to hear back about admission results after the first week of march.
University of Pennsylvania,Electrical Engineering,"February 24, 2025",Accepted on 19 Feb,Fall 2025,International,3.60,,
University of Pennsylvania,Scientific Computing,"February 20, 2025",Accepted on 20 Feb,Fall 2025,International,3.50,,"Mechanical Engineering undergrad, 1 journal under review and 6 conf. presentations in CFD & FEA"
University of Pennsylvania,Electrical Engineering,"February 20, 2025",Accepted on 19 Feb,Fall 2025,International,3.65,GRE 322 | GRE V 152 | GRE AW 4.00,
